,0,1,2,3,4
0,300.7201253360123,300.178456764695,300.0176801081469,300.0058025548199,300.00715826049435
1,301.66757951045514,300.6940276936103,300.1515951886041,300.02834951123,300.00994674879223
2,302.26800552085354,301.1166224097164,300.37483543224437,300.09648017548784,300.0274432224133
3,302.8174264987585,301.57843352374647,300.63036120680084,300.2134677898409,300.07712627399684
4,303.23948203226706,301.98754688699165,300.9186540282666,300.3722053187218,300.16135013657043
5,303.7064228885206,302.33932954343595,301.1568756076411,300.5343792752241,300.2760747881088
6,304.076389379713,302.702851119692,301.4449237795773,300.73338519553744,300.4205267401582
7,304.508602596575,303.05547600468407,301.746113560602,300.94657449333977,300.59293149386815
8,304.88527133557113,303.3851506208225,302.0116741266085,301.16315594231025,300.7877182073307
9,305.1111976821666,303.7160594376734,302.29750532646574,301.41665125560104,300.99275914432974
10,305.3881027779345,303.94386676593683,302.5967156893036,301.6595211848512,301.21145163973307
11,305.688291004925,304.27053725112404,302.82348250560017,301.87386400008,301.4480821562314
12,305.97662234104297,304.49526297234286,303.0730934112964,302.13099076438,301.6719424654106
13,306.13778793589836,304.7418343323754,303.3436722462994,302.385399447704,301.9252909207269
