,0
0,300.1583932317295
1,300.43632429711454
2,300.6855031574611
3,300.98177839353684
4,301.22029382112345
5,301.493703759119
6,301.72769076493734
7,302.00619846098573
8,302.29638736891116
9,302.50522344279256
10,302.7542468727962
11,303.06291289767904
12,303.291527050123
13,303.5241461388379
