,0,1,2,3,4
0,305.92629119682886,300.2502679539736,300.0251311942402,300.0086765094056,300.0066336303635
1,306.7022929862229,300.7605900395558,300.1676972855207,300.0324455815402,300.01046228708174
2,307.43789602619535,301.19612287318233,300.3966280699776,300.10741730035096,300.03059480553003
3,307.6893303060148,301.6437309908553,300.65286590739083,300.22904524282103,300.08302614423377
4,308.6252570357034,302.0415420814125,300.93461451950037,300.3859562566235,300.1703731968049
5,309.2777340341113,302.4192797896795,301.1958574411001,300.55671783438294,300.2899908667653
6,309.20634420385295,302.7631998597539,301.4549017227301,300.7493877527456,300.4363503424972
7,309.97465763214007,303.112153842243,301.74536770782197,300.9599791119911,300.6085906964131
8,310.2453515078367,303.4481357566547,302.0302832654689,301.1848895862449,300.8041081587216
9,310.533872862171,303.7231040741234,302.2861394631603,301.42276119405085,301.00678725809814
10,310.69658435772897,303.9926683219576,302.596697381478,301.6813310447809,301.22634542816434
11,311.22796373492974,304.28669663925086,302.84825576148535,301.9071859751342,301.4667303202061
12,311.21375374982085,304.5382519549856,303.0730699606065,302.13893870351075,301.6906227743371
13,311.46015879188406,304.69083594936063,303.28430164815813,302.36292003144916,301.91994898664495
