,0
0,310.5626363907675
1,311.16490619052627
2,312.6802101657
3,312.3174259709904
4,313.43333832484973
5,314.1576485640775
6,314.1912187346118
7,314.58604659303523
8,314.989894889798
9,315.39093749823235
10,315.81471621748403
11,316.5567194241565
12,316.4790449507277
13,316.49327975829056
