,0
0,18941.278310987247
1,17928.50546182962
2,15805.507519705801
3,16336.389217020971
4,15065.712804982832
5,14402.794499274345
6,14519.136625651774
7,14284.99201408893
8,14076.297995772535
9,13881.122380884713
10,13682.002078168382
11,13231.867310844253
12,13504.370350936359
13,13720.79325486384
