,0
0,301.3934716323936
1,301.57046074287484
2,301.86531069250987
3,302.2343169974774
4,302.5104840981188
5,302.8990982448212
6,303.00470535035356
7,303.2858891399328
8,303.58818034557913
9,303.8628338508985
10,304.07356142208886
11,304.36486527607207
12,304.58317166956795
13,304.76578391232516
